day: day of measurement,,,,,,,,,
month: month of measurement,,,,,,,,,
year: year of measurement,,,,,,,,,
station: location of measurement     ,,,,,,,,,
"maxtp: Maximum Air Temperature (C)	  ",,,,,,,,,
mintp: Minimum  Air Temperature (C),,,,,,,,,
rain: Precipitation Amount (mm),,,,,,,,,
wdsp: Mean Wind Speed (knot),,,,,,,,,
hg: Highest Gust (knot),,,,,,,,,
sun: Sunshine duration (hours),,,,,,,,,
,,,,,,,,,
day,month,year,station,maxtp,mintp,rain,wdsp,hg,sun
16,oct,2018,Dublin Airport,15.4,3.7,0,7.2,24,2.6
17,oct,2018,Dublin Airport,13.1,1.1,0,8,18,4
18,oct,2018,Dublin Airport,13.3,-0.1,0,4.2,12,9.1
19,oct,2018,Dublin Airport,14.6,5.1,0,4.9,18,2.3
20,oct,2018,Dublin Airport,17,9.2,0,6.3,22,4.6
21,oct,2018,Dublin Airport,15,5.3,0.7,10,29,3.5
22,oct,2018,Dublin Airport,12.3,2.8,0,10,22,8.9
23,oct,2018,Dublin Airport,13.3,7.7,0,16,32,2.6
24,oct,2018,Dublin Airport,10.9,8.3,0,13.3,25,0.1
25,oct,2018,Dublin Airport,11.4,7.9,0.2,11.1,25,0.1
26,oct,2018,Dublin Airport,9.1,2.1,0.4,14.4,27,7.3
27,oct,2018,Dublin Airport,6.6,-0.2,0.1,12.7,27,8
28,oct,2018,Dublin Airport,9.8,-2.9,0,,22,5.6
29,oct,2018,Dublin Airport,7.9,-3.3,0.1,6.1,19,0.9
30,oct,2018,Dublin Airport,9.6,-4.7,0.4,3,10,6.9
31,oct,2018,Dublin Airport,9.3,3.3,2.3,5.2,14,0.8
1,nov,2018,Dublin Airport,8.7,1.5,0,8.4,18,7.8
2,nov,2018,Dublin Airport,13.1,1.1,1.2,8.2,27,3.7
3,nov,2018,Dublin Airport,15.3,11.4,0.1,14.7,32,0
4,nov,2018,Dublin Airport,12.3,8.5,3.7,6.5,21,0.7
5,nov,2018,Dublin Airport,12.1,9.4,6.6,9.3,21,0
6,nov,2018,Dublin Airport,12.4,7,4.5,11,33,0.8
7,nov,2018,Dublin Airport,9.7,3.5,18.1,7.9,23,1
8,nov,2018,Dublin Airport,10.7,4.8,3.3,6.2,21,0
9,nov,2018,Dublin Airport,11.4,5.6,15.1,11.8,44,0
10,nov,2018,Dublin Airport,9.3,2.5,3.1,5.8,22,0.6
11,nov,2018,Dublin Airport,11.4,2.2,4.5,7.8,22,4.9
12,nov,2018,Dublin Airport,12.3,7.8,0,11.4,28,1.9
13,nov,2018,Dublin Airport,13,6.8,0.7,10.5,25,2.9
14,nov,2018,Dublin Airport,14.5,12.6,0.7,13.2,33,0
15,nov,2018,Dublin Airport,14.6,5.5,0.3,10.2,30,2.1
16,nov,2018,Dublin Airport,14.3,1.9,0,8.9,26,2.6
17,nov,2018,Dublin Airport,12.5,5.9,0,9.4,22,1.2
18,nov,2018,Dublin Airport,10.7,5.1,0,10.7,25,7.7
19,nov,2018,Dublin Airport,9.2,6.5,0.3,16,31,0.5
20,nov,2018,Dublin Airport,8,4.8,14.4,15.5,38,0.7
21,nov,2018,Dublin Airport,7.3,3.2,18.9,8.7,25,0
22,nov,2018,Dublin Airport,8.4,1.4,0.4,8.7,21,1.9
23,nov,2018,Dublin Airport,8.8,3.8,0,8.5,19,0.2
24,nov,2018,Dublin Airport,9.3,6,0.1,9.8,23,0.1
25,nov,2018,Dublin Airport,9,2.9,3.3,9,21,0.4
26,nov,2018,Dublin Airport,8.7,3.4,0.1,6.3,26,1.5
27,nov,2018,Dublin Airport,10,6.2,15.6,12.9,42,1.5
28,nov,2018,Dublin Airport,15.2,8.2,4.5,15.4,47,0.1
29,nov,2018,Dublin Airport,10.1,5.8,10.8,10,26,2.6
30,nov,2018,Dublin Airport,8,4.4,0.9,10.2,28,2.8
1,dec,2018,Dublin Airport,10.3,4.6,6.8,5.7,24,0.1
2,dec,2018,Dublin Airport,12.7,8.7,2.3,10.6,32,1.2
3,dec,2018,Dublin Airport,9.1,2,3.3,8.5,27,5.1
4,dec,2018,Dublin Airport,5.8,0.8,,4.8,23,0.1
5,dec,2018,Dublin Airport,11,5.6,14.1,7.8,23,0.2
6,dec,2018,Dublin Airport,13.2,9.8,1.9,9.2,26,0
7,dec,2018,Dublin Airport,13.4,3.4,4.2,14.4,39,4.4
8,dec,2018,Dublin Airport,10.6,6.7,3,15.7,38,1.1
9,dec,2018,Dublin Airport,9.1,4.4,0.5,15.4,32,5.6
10,dec,2018,Dublin Airport,8.9,2.5,0.1,5.4,18,0.2
11,dec,2018,Dublin Airport,10.8,1.9,2.4,8.4,27,0.1
12,dec,2018,Dublin Airport,9.4,6.4,2.9,11.1,40,0.6
13,dec,2018,Dublin Airport,7.8,5.1,0.2,18.1,39,0
14,dec,2018,Dublin Airport,6.8,4.9,2.8,16.9,38,0
15,dec,2018,Dublin Airport,10.2,5.3,10.5,20.8,53,0
16,dec,2018,Dublin Airport,7.4,3.9,0.2,7,24,0.1
17,dec,2018,Dublin Airport,12.1,4.1,0,11.1,32,0.1
18,dec,2018,Dublin Airport,12.2,4.9,3.9,11.8,39,0.5
19,dec,2018,Dublin Airport,8.7,4.5,0.2,9.5,26,1.5
20,dec,2018,Dublin Airport,7.7,6,0.9,10,26,1.4
21,dec,2018,Dublin Airport,9.3,5.2,3.7,7.3,27,0.1
22,dec,2018,Dublin Airport,8.9,6.1,3.4,8.1,22,2.6
23,dec,2018,Dublin Airport,7.5,3.7,12.9,6.7,18,0
